language,lines,repos
Ruby,82219750,659
JavaScript,30280822,281
Shell,2197140,101
Python,7656529,87
C,49336329,85
Objective-C,5475679,41
Perl,2744556,34
CSS,1096938,33
HTML,12622928,29
C++,11083782,29
PHP,12207317,29
Java,7410564,21
Emacs Lisp,2514495,20
Makefile,250542,15
Lua,6708238,15
VimL,2519411,14
Nu,773359,13
Groff,264304,9
Erlang,1832712,9
Assembly,1027691,8
Scheme,171953,8
Common Lisp,1911857,7
OCaml,11342033,7
CoffeeScript,78689,6
C#,159026,5
Io,3506314,5
ApacheConf,3885,4
XSLT,41185,4
ActionScript,35183,4
Ragel in Ruby Host,19552,4
Tcl,1317287,3
Perl6,28810,2
FORTRAN,947,2
Batchfile,1100,2
Haskell,9304,2
Arc,670409,2
ASP,99,2
VHDL,543,1
M4,81308,1
IDL,7276,1
Matlab,1328,1
R,21630,1
Forth,1998195,1
D,1572,1
Standard ML,11729,1
Nginx,457,1
AppleScript,2706,1
NSIS,16637,1
Awk,8675,1
Rust,3798,1
DTrace,4932,1
PostScript,12951293,1
Cucumber,53281,1
Groovy,150,1
Logos,326,1
AutoHotkey,684,1
Parrot,4260,1
TeX,768147,1
Bison,965,1
Prolog,15364,1
CMake,173389,1
Smarty,14773,1
Puppet,10153,1
Visual Basic,1724,1
Racket,1172,1
PowerShell,212,1
